complaint_id,predicted_entity_id,match_type,account_number,ifsc,account_holder_name,name_similarity,ground_truth_entity_id
C000038,ENT_000483,EXACT,734671708380,ICIC0002468,Angel Mishra,100.0,ENT_000489
C000039,ENT_000466,EXACT,718510071124,CNRB0004455,Reyansh Tiwari,100.0,ENT_000274
C000040,ENT_000453,EXACT,699910770735,HDFC0004321,Ishan Ahmed ,100.0,ENT_000268
C000041,ENT_000013,EXACT,114651587328,SBIN0001234,Kavya Paul,100.0,ENT_000644
C000042,ENT_000406,EXACT,641819166671,SBIN0005678,Dhruv Shinde,100.0,ENT_000249
C000043,ENT_000351,EXACT,573884083684,IDIB0005566,Kabir Roy,100.0,ENT_000688
C000044,ENT_000677,EXACT,966795243734,AXIS0003456, Kavita Joshi,100.0,ENT_000693
C000045,ENT_000109,EXACT,242596327861,IDIB0003344,Meera Bhatia,100.0,ENT_000281
C000046,ENT_000108,EXACT,241844645681,SBIN0001234,Anita Ghosh,100.0,ENT_000310
C000047,ENT_000185,EXACT,346095180020,PUNB0009876,Rahul Dey,100.0,ENT_000537
C000048,ENT_000047,EXACT,169684544463,PUNB0005432,Aditya Pandey,100.0,ENT_000048
C000049,ENT_000439,EXACT,681739352909,UBIN0007788,Kavita Kumar,100.0,ENT_000578
C000050,ENT_000080,EXACT,205953647125,HDFC0004321,Kabir Kulkarni,100.0,ENT_000565
C000051,ENT_000459,EXACT,709697887681,ICIC0002468,Dhruv Dubey,100.0,ENT_000484
C000052,ENT_000520,EXACT,775469860518,IDIB0003344,Ishita Kulkarni,100.0,ENT_000171
C000053,ENT_000417,EXACT,655999474067,BARB0006789,Pankaj Shah,100.0,ENT_000322
C000054,ENT_000165,EXACT,327265319003,PUNB0001357,Ramesh Khan,100.0,ENT_000628
C000055,ENT_000040,EXACT,165606286550,KKBK0001928,Aadhya Dubey,100.0,ENT_000607
C000056,ENT_000513,EXACT,764866345752,HDFC0005678,Pooja Singh,100.0,ENT_000410
C000057,ENT_000547,EXACT,805992461852,IDIB0003344,Sunita Rao,100.0,ENT_000394
C000058,ENT_000574,EXACT,842395153057,CNRB0004455,Ishita Kapoor,100.0,ENT_000255
C000059,ENT_000102,EXACT,235030135894,AXIS0006543,Vikram Bose,100.0,ENT_000213
C000060,ENT_000070,EXACT,194602074538,PUNB0001357,Roshni Patel,100.0,ENT_000677
C000061,ENT_000009,EXACT,111453993673,CNRB0006677,Sanjay Dutta,100.0,ENT_000267
C000062,ENT_000118,EXACT,253893447730,IDIB0001122,Ajay Ahmed,100.0,ENT_000421
C000063,ENT_000153,EXACT,311000094454,AXIS0007890,Swati Srivastava,100.0,ENT_000117
C000064,ENT_000410,EXACT,650925102373,KKBK0001928,Karan Ahmed,100.0,ENT_000214
C000065,ENT_000507,EXACT,761358158184,SBIN0005678,Aarav Chatterjee,100.0,ENT_000353
C000066,ENT_000080,EXACT,205953647125,HDFC0004321,Kabir Kulkarni,100.0,ENT_000565
C000067,ENT_000067,EXACT,190510022021,ICIC0002468,Ananya Kapoor,100.0,ENT_000671
C000068,ENT_000019,EXACT,128355454532,KKBK0001928,Navya Dey,100.0,ENT_000005
C000069,ENT_000420,EXACT,656795048359,BARB0006789,Navya Reddy,100.0,ENT_000037
C000070,ENT_000165,EXACT,327265319003,PUNB0001357,Ramesh Khan,100.0,ENT_000628
C000071,ENT_000084,EXACT,210187050550,IDIB0005566,Ashok Choudhury,100.0,ENT_000298
C000072,ENT_000405,EXACT,639928251843,AXIS0006543,Aditya Patel,100.0,ENT_000181
C000073,ENT_000156,EXACT,314029509095,PUNB0009876,Ira Bhatia,100.0,ENT_000190
C000074,ENT_000553,EXACT,813927597991,SBIN0009101,Sai Verma,100.0,ENT_000156
C000075,ENT_000139,EXACT,290008774121,KKBK0001928,Ishan  Nair,100.0,ENT_000205
C000076,ENT_000173,EXACT,334614800586,ICIC0002468,Shaurya Nair,100.0,ENT_000204
C000077,ENT_000239,EXACT,417880582454,AXIS0007890,Manish Patel,100.0,ENT_000679
C000078,ENT_000405,EXACT,639928251843,AXIS0006543,Mr. Aditya Patel,88.89,ENT_000181
C000079,ENT_000631,EXACT,903856791884,AXIS0006543,P Dey,100.0,ENT_000561
C000080,ENT_000449,EXACT,696695139934,IDIB0001122,Dr. Navya Dey,85.71,ENT_000045
C000081,ENT_000154,EXACT,311625223853,IDIB0003344,Advaith Jain,100.0,ENT_000560
C000082,ENT_000662,EXACT,944412769960,BARB0006789,Gaurav Mehta,100.0,ENT_000666
C000083,ENT_000392,EXACT,619406611023,SBIN0005678,Rahul Khan,100.0,ENT_000589
C000084,ENT_000685,EXACT,977630621959,CNRB0004455,Pranav Ghosh,100.0,ENT_000058
C000085,ENT_000342,EXACT,561177243339,AXIS0006543,Geeta Nair,100.0,ENT_000344
C000086,ENT_000214,EXACT,383683812395,AXIS0003456,Rajesh Chatterjee,100.0,ENT_000152
C000087,ENT_000345,EXACT,566979258469,SBIN0009101,Pankaj Tiwari,100.0,ENT_000449
C000088,ENT_000128,EXACT,269728956268,PUNB0009876,Saanvi Nair,100.0,ENT_000481
C000089,ENT_000217,EXACT,389801158279,BARB0003579,Ira Paul,100.0,ENT_000524
C000090,ENT_000479,EXACT,729444729179,PUNB0001357,Sanjay Yadav,100.0,ENT_000473
C000091,ENT_000692,EXACT,988738578038,KKBK0001928,Navya Bhatia,100.0,ENT_000112
C000092,ENT_000480,EXACT,730855031651,BARB0002345,A. Ghosh,100.0,ENT_000053
C000093,ENT_000207,EXACT,366742651064,AXIS0007890,Siddharth Pawar,100.0,ENT_000364
C000094,ENT_000020,EXACT,133774683071,SBIN0009101,Sai Tripathi,100.0,ENT_000488
C000095,ENT_000062,EXACT,188219282055,HDFC0005678,Ananya Mukherjee,100.0,ENT_000139
C000096,ENT_000143,EXACT,294622935239,AXIS0003456,Ramesh Dutta,100.0,ENT_000690
C000097,ENT_000136,EXACT,286318825329,HDFC0005678,Roy Neha,100.0,ENT_000681
C000098,ENT_000354,EXACT,577160927111,ICIC0008765,Ishan Jain,100.0,ENT_000665
C000099,ENT_000116,EXACT,252468346350,BARB0003579,Vikram Ghosh,100.0,ENT_000698
C000100,ENT_000542,EXACT,800583966022,CNRB0008899,amit bhatia,100.0,ENT_000572
C000101,ENT_000017,EXACT,123611025550,SBIN0009101,Gaurav Shinde,100.0,ENT_000504
C000102,ENT_000183,EXACT,343157964776,ICIC0008765,Kabir Kulkarni,100.0,ENT_000573
C000103,ENT_000093,EXACT,223153060732,AXIS0007890,Suresh Paul,100.0,ENT_000522
C000104,ENT_000471,EXACT,720446670928,ICIC0008765,Sara Roy,100.0,ENT_000650
C000105,ENT_000568,EXACT,837214063081,AXIS0007890,Tanvi Bhatia,100.0,ENT_000396
C000106,ENT_000138,EXACT,287436613779,BARB0002345,Ananya Nair,100.0,ENT_000486
C000107,ENT_000591,EXACT,861854335443,HDFC0005678,Myra Kumar,100.0,ENT_000140
C000108,ENT_000059,EXACT,184965906196,PUNB0001357,Pooja Ghosh ,100.0,ENT_000684
C000109,ENT_000433,EXACT,675777869916,SBIN0005678,Ishan Saxena,100.0,ENT_000638
C000110,ENT_000285,EXACT,482016878181,BARB0002345,Vikram Dubey,100.0,ENT_000269
C000111,ENT_000278,EXACT,467863780045,IDIB0003344,Ritvik K. Rao,100.0,ENT_000419
C000112,ENT_000420,EXACT,656795048359,BARB0006789, Navya Reddy,100.0,ENT_000037
C000113,ENT_000450,EXACT,697493414595,ICIC0008765,Ananya Sen,100.0,ENT_000210
C000114,ENT_000042,EXACT,166027394237,BARB0006789,Vijay Saxena,100.0,ENT_000642
C000115,ENT_000584,EXACT,855671426170,PUNB0005432,Pooja Patil,100.0,ENT_000634
C000116,ENT_000238,EXACT,417104722442,SBIN0009101,Atharv Choudhury,100.0,ENT_000378
C000117,ENT_000651,EXACT,933785291760,PUNB0001357,Tanvi Yadav,100.0,ENT_000497
C000118,ENT_000320,EXACT,528437913341,CNRB0004455,Alok Gaikwad,100.0,ENT_000145
C000119,ENT_000667,EXACT,948676594151,UBIN0005566,Rajesh Ghosh,100.0,ENT_000605
C000120,ENT_000132,EXACT,274493552068,IDIB0003344,Nikhil Tiwari,100.0,ENT_000030
C000121,ENT_000411,EXACT,651613895273,CNRB0008899,Aayan Joshi,100.0,ENT_000480
C000122,ENT_000576,EXACT,847668980598,UBIN0005566,Meera Rao,100.0,ENT_000592
C000123,ENT_000153,EXACT,311000094454,AXIS0007890,Swati Srivastava,100.0,ENT_000117
C000124,ENT_000626,EXACT,898720071165,BARB0003579,Ashok Deshmukh,100.0,ENT_000635
C000125,ENT_000397,EXACT,626972684219,BARB0003579,Pari Rao,100.0,ENT_000439
C000126,ENT_000143,EXACT,294622935239,AXIS0003456,Ms. Ramesh Dutta,88.89,ENT_000690
C000127,ENT_000463,EXACT,714428300898,AXIS0006543,Suresh Paul,100.0,ENT_000585
C000128,ENT_000186,EXACT,346884123576,CNRB0004455,Pranav Agarwal,100.0,ENT_000335
C000129,ENT_000164,EXACT,326303975452,AXIS0007890,Varun  Choudhury,100.0,ENT_000530
C000130,ENT_000446,EXACT,692210657021,IDIB0001122,Neha Tripathi,100.0,ENT_000033
C000131,ENT_000339,EXACT,556440884355,IDIB0005566,Vijay Kulkarni,100.0,ENT_000237
C000132,ENT_000168,EXACT,331762745410,BARB0002345,Ritvik Dey,100.0,ENT_000660
C000133,ENT_000658,EXACT,942586603917,HDFC0005678,Alok Bhatia,100.0,ENT_000590
C000134,ENT_000193,EXACT,353543257595,PUNB0009876,Rahul Bose,100.0,ENT_000207
C000135,ENT_000007,EXACT,109238601984,ICIC0004321,Varun Deshmukh,100.0,ENT_000641
C000136,ENT_000281,EXACT,471144503217,IDIB0005566,Sunil Malhotra,100.0,ENT_000325
C000137,ENT_000275,EXACT,463080281895,SBIN0001234,Advaith Das,100.0,ENT_000107
C000138,ENT_000300,EXACT,496260389877,KKBK0003210,Karan S Deshmukh,100.0,ENT_000626
C000139,ENT_000524,EXACT,779421443451,ICIC0002468,Kabir Dubey,100.0,ENT_000277
C000140,ENT_000455,EXACT,700581361458,UBIN0007788,Vikram Choudhury,100.0,ENT_000081
C000141,ENT_000674,EXACT,962466472260,KKBK0007890,Anika Bhatia,100.0,ENT_000407
C000142,ENT_000289,EXACT,485585964205,PUNB0001357,Ritvik Ghosh,100.0,ENT_000368
C000143,ENT_000248,EXACT,430714225291,PUNB0009876,Angel Ali,100.0,ENT_000119
C000144,ENT_000561,EXACT,830136378095,KKBK0007890,Kapoor Kavya,100.0,ENT_000533
C000145,ENT_000315,EXACT,518597220210,ICIC0002468,Sweta Mukherjee,100.0,ENT_000020
C000146,ENT_000358,EXACT,579303623884,PUNB0001357,Ramesh Ali,100.0,ENT_000109
C000147,ENT_000458,EXACT,709099824282,PUNB0009876,Pranav Rao,100.0,ENT_000083
C000148,ENT_000387,EXACT,609030752531,SBIN0005678,SWETA GHOSH,100.0,ENT_000130
C000149,ENT_000624,EXACT,895783733945,PUNB0009876,Ashok Reddy,100.0,ENT_000242
C000150,ENT_000485,EXACT,735798459372,PUNB0001357,Dhruv Patel,100.0,ENT_000279
C000151,ENT_000488,EXACT,736422102747,ICIC0002468,Arjun Shah,100.0,ENT_000108
C000152,ENT_000101,EXACT,232916613814,BARB0003579,Ananya Patil,100.0,ENT_000235
C000153,ENT_000003,EXACT,103944899549,BARB0006789,Rajesh Patil,100.0,ENT_000039
C000154,ENT_000637,EXACT,916557269948,KKBK0001928,Pari Banerjee,100.0,ENT_000187
C000155,ENT_000099,EXACT,230342679193,HDFC0004321,Ishita Malhotra,100.0,ENT_000593
C000156,ENT_000146,EXACT,297594719776,CNRB0004455,Ritvik Mishra,100.0,ENT_000341
C000157,ENT_000499,EXACT,752686223803,PUNB0005432,Advik Ahmed,100.0,ENT_000250
C000158,ENT_000580,EXACT,850001111711,BARB0006789,Aryan Rao,100.0,ENT_000512
C000159,ENT_000286,EXACT,482133076827,BARB0003579,Swati Pawar,100.0,ENT_000609
C000160,ENT_000277,EXACT,465087448782,IDIB0001122,Dhruv Dubey,100.0,ENT_000089
C000161,ENT_000504,EXACT,758365355182,PUNB0009876,Anita Shah,100.0,ENT_000333
C000162,ENT_000599,EXACT,870278886192,SBIN0009101,Meera Singh,100.0,ENT_000588
C000163,ENT_000426,EXACT,664477687248,PUNB0005432,Atharv Malhotra,100.0,ENT_000564
C000164,ENT_000516,EXACT,772260083878,HDFC0004321,Kavita Bhatia,100.0,ENT_000386
C000165,ENT_000058,EXACT,182269863100,PUNB0009876,Advik Shinde,100.0,ENT_000399
C000166,ENT_000126,EXACT,264566563474,AXIS0006543,krishna kulkarni,100.0,ENT_000374
C000167,ENT_000592,EXACT,861977213598,KKBK0007890,Rahul Saxena,100.0,ENT_000223
C000168,ENT_000299,EXACT,495973029385,KKBK0001928,Rahul Kumar,100.0,ENT_000510
C000169,ENT_000490,EXACT,738506846386,PUNB0001357,Ajay Yadav,100.0,ENT_000183
C000170,ENT_000006,EXACT,108901504899,AXIS0006543,Preeti Shah,100.0,ENT_000078
C000171,ENT_000099,EXACT,230342679193,HDFC0004321,Ishita Malhotra,100.0,ENT_000593
C000172,ENT_000129,EXACT,269879802007,ICIC0002468,Rahul Tiwari,100.0,ENT_000085
C000173,ENT_000055,EXACT,178728590908,KKBK0003210,Riya Sen,100.0,ENT_000051
C000174,ENT_000647,EXACT,929604758482,BARB0006789,Reyansh Srivastava,100.0,ENT_000347
C000175,ENT_000434,EXACT,675939282671,HDFC0005678,Riya Banerjee,100.0,ENT_000647
C000176,ENT_000657,EXACT,940536690954,PUNB0009876,Geeta Agarwal,100.0,ENT_000340
C000177,ENT_000648,EXACT,930498955541,HDFC0005678,Navya Tiwari,100.0,ENT_000514
C000178,ENT_000537,EXACT,795911943199,ICIC0002468,Anil Patil,100.0,ENT_000667
C000179,ENT_000137,EXACT,287410804707,KKBK0001928,Priya Nair,100.0,ENT_000019
C000180,ENT_000113,EXACT,250059974723,CNRB0004455,Varun Deshmukh,100.0,ENT_000559
C000181,ENT_000586,EXACT,856804495442,UBIN0007788,Ashok Mehta,100.0,ENT_000538
C000182,ENT_000384,EXACT,605166001421,IDIB0005566,Kavita Patel,100.0,ENT_000363
C000183,ENT_000144,EXACT,296546131054,KKBK0003210,pranav dubey,100.0,ENT_000036
C000184,ENT_000558,EXACT,827197730438,CNRB0004455,Aryan Paul,100.0,ENT_000114
C000185,ENT_000643,EXACT,921315799665,SBIN0009101,Pankaj Shah,100.0,ENT_000258
C000186,ENT_000591,EXACT,861854335443,HDFC0005678,Myra Kumar,100.0,ENT_000140
C000187,ENT_000394,EXACT,623060957599,IDIB0003344,Dr. Kunal Banerjee,100.0,ENT_000054
C000188,ENT_000271,EXACT,458236319765,AXIS0003456,Amit Yadav,100.0,ENT_000116
C000189,ENT_000430,EXACT,668956468715,BARB0003579,Deepak Sen,100.0,ENT_000219
C000190,ENT_000323,EXACT,534129483583,CNRB0004455,Suresh Biswas,100.0,ENT_000365
C000191,ENT_000270,EXACT,457188967265,CNRB0004455,Shreya Ahmed,100.0,ENT_000581
C000192,ENT_000620,EXACT,892761382374,AXIS0007890,Amit Reddy,100.0,ENT_000631
C000193,ENT_000276,EXACT,463098950845,AXIS0003456,Kabir Bose,100.0,ENT_000663
C000194,ENT_000250,EXACT,434343034522,ICIC0004321,Manish Kulkarni,100.0,ENT_000271
C000195,ENT_000405,EXACT,639928251843,AXIS0006543,Aditya Patel,100.0,ENT_000181
C000196,ENT_000103,EXACT,235448546713,AXIS0006543,Deepa Srivastava,100.0,ENT_000287
C000197,ENT_000199,EXACT,360788634696,AXIS0006543,Rahul Biswas,100.0,ENT_000405
C000198,ENT_000158,EXACT,320303658363,SBIN0005678,Navya Gupta,100.0,ENT_000441
C000199,ENT_000032,EXACT,150425239978,AXIS0003456,Deepak Mukherjee,100.0,ENT_000602
C000200,ENT_000647,EXACT,929604758482,BARB0006789,Reyansh Srivastava,100.0,ENT_000347
C000201,ENT_000555,EXACT,820726006289,KKBK0003210,Vivaan Saxena,100.0,ENT_000082
C000202,ENT_000310,EXACT,513604871693,HDFC0004321,Ishita Kulkarni,100.0,ENT_000611
C000203,ENT_000290,EXACT,486788314061,KKBK0003210,Ishan Roy,100.0,ENT_000376
C000204,ENT_000227,EXACT,406352552364,CNRB0004455,Krishna Sen,100.0,ENT_000105
C000205,ENT_000404,EXACT,639157294166,UBIN0007788,Preeti Roy,100.0,ENT_000520
C000206,ENT_000253,EXACT,438411762855,BARB0006789,Preeti Dutta,100.0,ENT_000212
C000207,ENT_000506,EXACT,760045839791,SBIN0005678,Sunita Kumar,100.0,ENT_000388
C000208,ENT_000653,EXACT,935608119076,ICIC0008765,Ajay Tripathi,100.0,ENT_000180
C000209,ENT_000432,EXACT,674066241127,ICIC0008765,Kunal Roy,100.0,ENT_000606
C000210,ENT_000021,EXACT,136796035576,BARB0006789,Ananya Srivastava,100.0,ENT_000459
C000211,ENT_000481,EXACT,733573714419,ICIC0008765,Ritvik Dutta,100.0,ENT_000429
C000212,ENT_000009,EXACT,111453993673,CNRB0006677,Sanjay  Dutta,100.0,ENT_000267
C000213,ENT_000549,EXACT,809895453406,SBIN0005678,Atharv Tripathi,100.0,ENT_000553
C000214,ENT_000191,EXACT,352130348254,KKBK0003210,Sweta Saxena,100.0,ENT_000357
C000215,ENT_000525,EXACT,780394059373,BARB0003579,Vihaan Patil,100.0,ENT_000490
C000216,ENT_000641,EXACT,920422004102,KKBK0001928,Mr. Reyansh Agarwal,100.0,ENT_000155
C000217,ENT_000256,EXACT,445491629910,AXIS0007890,Khan Ananya,100.0,ENT_000529
C000218,ENT_000536,EXACT,795669368396,BARB0006789,Riya Dey,100.0,ENT_000232
C000219,ENT_000390,EXACT,612736037960,KKBK0001928,Anita Roy,100.0,ENT_000625
C000220,ENT_000319,EXACT,525784434958,AXIS0006543,Deepa Saxena,100.0,ENT_000295
C000221,ENT_000255,EXACT,440891782309,UBIN0009900,Rajesh Mishra,100.0,ENT_000345
C000222,ENT_000570,EXACT,841172976688,IDIB0001122,Anika Menon,100.0,ENT_000563
C000223,ENT_000580,EXACT,850001111711,BARB0006789,Aryan Rao,100.0,ENT_000512
C000224,ENT_000337,EXACT,548458442836,PUNB0005432,Meera Deshmukh,100.0,ENT_000141
C000225,ENT_000036,EXACT,157616543512,AXIS0003456,Varun Bhatia,100.0,ENT_000416
C000226,ENT_000316,EXACT,519275532872,IDIB0003344,SUNITA AHMED,100.0,ENT_000687
C000227,ENT_000192,EXACT,352644409339,ICIC0008765,S Agarwal,100.0,ENT_000597
C000228,ENT_000037,EXACT,161157982007,ICIC0008765,Preeti Patel,100.0,ENT_000041
C000229,ENT_000005,EXACT,106937867936,CNRB0006677,Shaurya Verma,100.0,ENT_000422
C000230,ENT_000380,EXACT,599438389318,BARB0003579,Meera Pawar,100.0,ENT_000558
C000231,ENT_000664,EXACT,945999235805,IDIB0005566,Sweta Verma,100.0,ENT_000338
C000232,ENT_000358,EXACT,579303623884,PUNB0001357,Ramesh Ali,100.0,ENT_000109
C000233,ENT_000443,EXACT,688725171936,ICIC0004321,Varun Das,100.0,ENT_000079
C000234,ENT_000581,EXACT,850805437251,CNRB0004455,Ramesh Saxena,100.0,ENT_000468
C000235,ENT_000603,EXACT,872205467773,HDFC0001234,Roshni Paul,100.0,ENT_000323
C000236,ENT_000516,EXACT,772260083878,HDFC0004321,Kavita Bhatia,100.0,ENT_000386
C000237,ENT_000137,EXACT,287410804707,KKBK0001928,Priya Nair,100.0,ENT_000019
C000238,ENT_000271,EXACT,458236319765,AXIS0003456,Amit Yadav,100.0,ENT_000116
C000239,ENT_000399,EXACT,631034820387,CNRB0004455,Deepa Yadav,100.0,ENT_000411
C000240,ENT_000117,EXACT,253634270376,SBIN0001234,Roshni Nair,100.0,ENT_000550
C000241,ENT_000613,EXACT,886250029907,IDIB0001122,Sunil Gupta,100.0,ENT_000440
C000242,ENT_000526,EXACT,781921266516,PUNB0009876,Priya Dey,100.0,ENT_000670
C000243,ENT_000432,EXACT,674066241127,ICIC0008765,Kunal Roy,100.0,ENT_000606
C000244,ENT_000253,EXACT,438411762855,BARB0006789,PREETI DUTTA,100.0,ENT_000212
C000245,ENT_000045,EXACT,167091801483,BARB0006789,A Chatterjee,100.0,ENT_000203
C000246,ENT_000045,EXACT,167091801483,BARB0006789,Advik Chatterjee,85.71,ENT_000203
C000247,ENT_000618,EXACT,889984729564,PUNB0009876,Tanvi Dey,100.0,ENT_000236
C000248,ENT_000587,EXACT,858457285044,IDIB0005566,Priya Shah,100.0,ENT_000164
C000249,ENT_000393,EXACT,622289523089,KKBK0003210,Ananya Singh,100.0,ENT_000382
C000250,ENT_000191,EXACT,352130348254,KKBK0003210,Sweta Saxena,100.0,ENT_000357
C000251,ENT_000486,EXACT,735906343638,UBIN0009900,Meera Singh,100.0,ENT_000069
C000252,ENT_000078,EXACT,204495226137,KKBK0001928,Manish Dutta,100.0,ENT_000389
C000253,ENT_000387,EXACT,609030752531,SBIN0005678,Sweta Ghosh,100.0,ENT_000130
C000254,ENT_000270,EXACT,457188967265,CNRB0004455,Ahmed Shreya,100.0,ENT_000581
C000255,ENT_000611,EXACT,879944763170,SBIN0009101,Suresh Yadav,100.0,ENT_000393
C000256,ENT_000695,EXACT,992981382947,AXIS0003456,Manish Saxena,100.0,ENT_000248
C000257,ENT_000212,EXACT,374661490981,ICIC0004321,Aditya Choudhury,100.0,ENT_000157
C000258,ENT_000668,EXACT,949102978448,PUNB0009876,Aryan Mishra,100.0,ENT_000165
C000259,ENT_000303,EXACT,498478548963,KKBK0003210,Pranav Ahmed,100.0,ENT_000314
C000260,ENT_000458,EXACT,709099824282,PUNB0009876,Pranav Rao,100.0,ENT_000083
C000261,ENT_000383,EXACT,603254986487,CNRB0008899,Ishita Jain,100.0,ENT_000534
C000262,ENT_000679,EXACT,967971241676,AXIS0003456,Vivaan Das,100.0,ENT_000286
C000263,ENT_000150,EXACT,306045573885,KKBK0007890,Karan Bhatia,100.0,ENT_000447
C000264,ENT_000640,EXACT,920121345586,UBIN0007788,Meera Khan,100.0,ENT_000296
C000265,ENT_000198,EXACT,358156110078,AXIS0003456,Anita Mishra,100.0,ENT_000272
C000266,ENT_000697,EXACT,997945199081,CNRB0004455,Kunal Srivastava,100.0,ENT_000697
C000267,ENT_000676,EXACT,965467382366,KKBK0003210,Roshni Verma,100.0,ENT_000433
C000268,ENT_000064,EXACT,189532603540,ICIC0002468,Navya  Dubey,100.0,ENT_000483
C000269,ENT_000088,EXACT,215681909956,UBIN0007788,Shreya Joshi,100.0,ENT_000412
C000270,ENT_000104,EXACT,237302403040,CNRB0004455,Sunil Patel,100.0,ENT_000303
C000271,ENT_000435,EXACT,675953876146,CNRB0008899,Sunil Sharma,100.0,ENT_000251
C000272,ENT_000001,EXACT,101843567009,BARB0006789,Anita Ghosh,100.0,ENT_000430
C000273,ENT_000020,EXACT,133774683071,SBIN0009101,Sai Tripathi,100.0,ENT_000488
C000274,ENT_000081,EXACT,207261824971,CNRB0006677,Kavya Gupta,100.0,ENT_000655
C000275,ENT_000533,EXACT,791012979889,KKBK0001928,Amit Tripathi,100.0,ENT_000491
C000276,ENT_000511,EXACT,764318362436,BARB0006789,Sai Kumar,100.0,ENT_000618
C000277,ENT_000012,EXACT,114350478636,CNRB0004455,Alok Patil,100.0,ENT_000168
C000278,ENT_000195,EXACT,354645447539,IDIB0005566,Ramesh Mishra,100.0,ENT_000604
C000279,ENT_000266,EXACT,452068690122,BARB0003579,Ishan Ahmed,100.0,ENT_000477
C000280,ENT_000409,EXACT,648661336631,IDIB0005566,Rahul Mukherjee,100.0,ENT_000275
C000281,ENT_000375,EXACT,595904407913,SBIN0005678,Aayan Bhatia,100.0,ENT_000377
C000282,ENT_000263,EXACT,449565764637,PUNB0001357,Pranav Patel,100.0,ENT_000673
C000283,ENT_000321,EXACT,529433631560,ICIC0002468,Sunil Dutta,100.0,ENT_000066
C000284,ENT_000049,EXACT,173556597858,ICIC0008765,Kavita Bhatia,100.0,ENT_000458
