subgraph_id,seed_account,contains_laundering,num_nodes,num_edges,in_degree_seed,out_degree_seed,fan_out_ratio,density,average_degree,num_terminal_sinks,total_transaction_value,max_transaction_value,velocity_tph,velocity_vph,graphml_path
IBM_POS_0032,B133686_80C734F80,1,542,1108,2,4,2.0,0.0038,4.0886,534,12506268897.86,5862450542.14,15.3889,173698179.14,data\ibm_graphs\IBM_POS_0032.graphml
IBM_POS_0033,B1655_80832A480,1,2,4,2,4,2.0,2.0,4.0,1,1363322.8,673831.65,0.0556,18935.04,data\ibm_graphs\IBM_POS_0033.graphml
IBM_POS_0034,B795_80BAEB330,1,13,61,6,16,2.6667,0.391,9.3846,3,17730340.21,3360658.23,0.8472,246254.73,data\ibm_graphs\IBM_POS_0034.graphml
IBM_POS_0035,B2915_800A3E5A0,1,60,73,6,8,1.3333,0.0206,2.4333,0,1904262.73,1695921.9,1.0139,26448.09,data\ibm_graphs\IBM_POS_0035.graphml
IBM_POS_0036,B222697_8085DD9A0,1,2,4,2,4,2.0,2.0,4.0,1,53282.64,15015.96,0.0556,740.04,data\ibm_graphs\IBM_POS_0036.graphml
IBM_POS_0037,B18405_806DA0590,1,28,132,4,6,1.5,0.1746,9.4286,5,2494849609.3,1042655521.12,1.8333,34650689.02,data\ibm_graphs\IBM_POS_0037.graphml
IBM_POS_0038,B2591_80A1C7710,1,12801,54229,6,4,0.6667,0.0003,8.4726,5000,29717565716.78,825807854.75,753.1806,412743968.29,data\ibm_graphs\IBM_POS_0038.graphml
IBM_POS_0039,B32405_810D9E7B0,1,12,48,12,6,0.5,0.3636,8.0,1,1025669.75,177040.41,0.6667,14245.41,data\ibm_graphs\IBM_POS_0039.graphml
IBM_POS_0040,B1547_8004FBC70,1,2,6,2,6,3.0,3.0,6.0,1,68623.54,17752.95,0.0833,953.1,data\ibm_graphs\IBM_POS_0040.graphml
IBM_POS_0041,B1124_8079EC940,1,6,20,4,4,1.0,0.6667,6.6667,1,1739553.78,489830.57,0.2778,24160.47,data\ibm_graphs\IBM_POS_0041.graphml
IBM_POS_0042,B23_8002A0E00,1,3,6,4,4,1.0,1.0,4.0,1,65196.22,12271.88,0.0833,905.5,data\ibm_graphs\IBM_POS_0042.graphml
IBM_POS_0043,B148350_811FFF630,1,488,1043,8,6,0.75,0.0044,4.2746,470,915644188.28,516342138.42,14.4861,12717280.39,data\ibm_graphs\IBM_POS_0043.graphml
IBM_POS_0044,B223_812D1A410,1,11,20,0,2,2.0,0.1818,3.6364,1,1435555.24,291133.92,0.2778,19938.27,data\ibm_graphs\IBM_POS_0044.graphml
IBM_POS_0045,B112078_808DE9400,1,7,26,4,6,1.5,0.619,7.4286,0,281204453.54,140543551.41,0.3611,3905617.41,data\ibm_graphs\IBM_POS_0045.graphml
IBM_POS_0046,B21387_811B12170,1,12800,54231,6,4,0.6667,0.0003,8.4736,4998,29716874375.79,825807854.75,753.2083,412734366.33,data\ibm_graphs\IBM_POS_0046.graphml
IBM_POS_0047,B16606_8064545E0,1,2,2,0,2,2.0,1.0,2.0,1,24662.0,12331.0,0.0278,342.53,data\ibm_graphs\IBM_POS_0047.graphml
IBM_POS_0048,B28663_80A976860,1,21,91,16,8,0.5,0.2167,8.6667,4,22699258.16,3360658.23,1.2639,315267.47,data\ibm_graphs\IBM_POS_0048.graphml
IBM_POS_0049,B1_8010AA4F0,1,14,61,4,12,3.0,0.3352,8.7143,6,964938.03,152868.44,0.8472,13401.92,data\ibm_graphs\IBM_POS_0049.graphml
IBM_POS_0050,B13157_805CA5A30,1,11,40,2,4,2.0,0.3636,7.2727,2,1200101.32,362288.51,0.5556,16668.07,data\ibm_graphs\IBM_POS_0050.graphml
IBM_POS_0051,B40836_80F6B88B0,1,14,52,4,6,1.5,0.2857,7.4286,5,1351834.03,258390.29,0.7222,18775.47,data\ibm_graphs\IBM_POS_0051.graphml
IBM_POS_0052,B19593_8038A9100,1,4,12,4,4,1.0,1.0,6.0,1,43574.42,18283.65,0.1667,605.2,data\ibm_graphs\IBM_POS_0052.graphml
IBM_POS_0053,B3123_809FB9990,1,6,33,6,4,0.6667,1.1,11.0,1,3786615.52,1668693.41,0.4583,52591.88,data\ibm_graphs\IBM_POS_0053.graphml
IBM_POS_0054,B21174_800776AF0,1,6,14,4,6,1.5,0.4667,4.6667,1,180151.47,17537.51,0.1944,2502.1,data\ibm_graphs\IBM_POS_0054.graphml
IBM_POS_0055,B12_800C050D0,1,491,1012,4,12,3.0,0.0042,4.1222,482,77563948667.01,29844015196.94,14.0556,1077277064.82,data\ibm_graphs\IBM_POS_0055.graphml
IBM_POS_0056,B225215_809852800,1,9,28,2,4,2.0,0.3889,6.2222,2,326254.66,26788.76,0.3889,4531.31,data\ibm_graphs\IBM_POS_0056.graphml
IBM_POS_0057,B29_80DAFF780,1,13,48,4,2,0.5,0.3077,7.3846,3,25513119.22,6670827.34,0.6667,354348.88,data\ibm_graphs\IBM_POS_0057.graphml
IBM_POS_0058,B9129_80B4D3030,1,3,8,2,4,2.0,1.3333,5.3333,1,3859.3,1467.57,0.1111,53.6,data\ibm_graphs\IBM_POS_0058.graphml
IBM_POS_0059,B70_100428858,1,2507,12023,2,2570,1285.0,0.0019,9.5915,831,8008918407.78,536787947.0,166.9861,111234977.89,data\ibm_graphs\IBM_POS_0059.graphml
IBM_POS_0060,B213952_806D47B10,1,21570,91418,18,6,0.3333,0.0002,8.4764,8520,85699381333.51,6864834129.45,1269.6944,1190269185.19,data\ibm_graphs\IBM_POS_0060.graphml
IBM_POS_0061,B410_802D878C0,1,2,4,2,4,2.0,2.0,4.0,1,28235.32,7617.17,0.0556,392.16,data\ibm_graphs\IBM_POS_0061.graphml
IBM_POS_0062,B125906_80D8F53F0,1,14,50,2,4,2.0,0.2747,7.1429,2,992664.76,180342.83,0.6944,13787.01,data\ibm_graphs\IBM_POS_0062.graphml
IBM_POS_0063,B17401_80D179410,1,18,79,8,10,1.25,0.2582,8.7778,6,11135107.57,3360658.23,1.0972,154654.27,data\ibm_graphs\IBM_POS_0063.graphml
IBM_POS_0064,B251395_8144F8300,1,12,38,2,4,2.0,0.2879,6.3333,1,182758.18,22066.25,0.5278,2538.31,data\ibm_graphs\IBM_POS_0064.graphml
IBM_POS_0065,B20861_80940A1D0,1,2,2,0,2,2.0,1.0,2.0,1,592.58,296.29,0.0278,8.23,data\ibm_graphs\IBM_POS_0065.graphml
IBM_POS_0066,B22828_80C627820,1,5,22,2,4,2.0,1.1,8.8,0,14688517.34,5955644.49,0.3056,204007.19,data\ibm_graphs\IBM_POS_0066.graphml
IBM_POS_0067,B223645_80FBCC760,1,5,15,6,6,1.0,0.75,6.0,1,41802.53,4477.93,0.2083,580.59,data\ibm_graphs\IBM_POS_0067.graphml
IBM_POS_0068,B120046_80DA3D3F0,1,72,246,4,6,1.5,0.0481,6.8333,4,15205950.72,6045388.0,3.4167,211193.76,data\ibm_graphs\IBM_POS_0068.graphml
IBM_POS_0069,B117698_80D4B5530,1,2,2,0,2,2.0,1.0,2.0,1,12182.1,6091.05,0.0278,169.2,data\ibm_graphs\IBM_POS_0069.graphml
IBM_POS_0070,B21174_800737690,1,1105,2348,10,24,2.4,0.0019,4.2498,1074,3719448727.32,679797968.71,32.6111,51659010.1,data\ibm_graphs\IBM_POS_0070.graphml
IBM_POS_0071,B150240_812D22980,1,1062,4432,8,8,1.0,0.0039,8.3465,396,3163767882.8,516342138.42,61.5556,43941220.59,data\ibm_graphs\IBM_POS_0071.graphml
IBM_POS_0072,B6179_805B5BC60,1,10,37,2,4,2.0,0.4111,7.4,1,870365.68,399337.1,0.5139,12088.41,data\ibm_graphs\IBM_POS_0072.graphml
IBM_POS_0073,B23331_809022C20,1,8,27,0,2,2.0,0.4821,6.75,3,114029.4,42706.07,0.375,1583.74,data\ibm_graphs\IBM_POS_0073.graphml
IBM_POS_0074,B213_8091A58E0,1,6,19,2,4,2.0,0.6333,6.3333,1,593966.55,253796.54,0.2639,8249.54,data\ibm_graphs\IBM_POS_0074.graphml
IBM_POS_0075,B19329_80DEF3AB0,1,27,100,12,6,0.5,0.1425,7.4074,13,9609582.74,2797392.36,1.3889,133466.43,data\ibm_graphs\IBM_POS_0075.graphml
IBM_POS_0076,B24779_8090EE1D0,1,8,31,2,4,2.0,0.5536,7.75,0,1232836.47,600308.93,0.4306,17122.73,data\ibm_graphs\IBM_POS_0076.graphml
IBM_POS_0077,B116_80F1AF380,1,12,55,12,20,1.6667,0.4167,9.1667,1,1272342.51,278872.19,0.7639,17671.42,data\ibm_graphs\IBM_POS_0077.graphml
IBM_POS_0078,B12_800054B70,1,10,34,8,18,2.25,0.3778,6.8,5,105551375.45,46013230.29,0.4722,1465991.33,data\ibm_graphs\IBM_POS_0078.graphml
IBM_POS_0079,B27954_80CC4B000,1,3,8,4,4,1.0,1.3333,5.3333,1,40951.66,5570.35,0.1111,568.77,data\ibm_graphs\IBM_POS_0079.graphml
IBM_POS_0080,B49365_812A09D40,1,481,1003,14,6,0.4286,0.0043,4.1705,469,917232258.22,516342138.42,13.9306,12739336.92,data\ibm_graphs\IBM_POS_0080.graphml
IBM_POS_0081,B1244_800ACE160,1,81,318,4,8,2.0,0.0491,7.8519,13,214150814.19,100329090.85,4.4167,2974316.86,data\ibm_graphs\IBM_POS_0081.graphml
IBM_POS_0082,B70_100428A51,1,2483,12328,0,3044,3044.0,0.002,9.9299,674,333295.74,36208.71,171.2222,4629.11,data\ibm_graphs\IBM_POS_0082.graphml
IBM_POS_0083,B48211_811D70290,1,18,66,4,16,4.0,0.2157,7.3333,7,54313317.4,17207112.05,0.9167,754351.63,data\ibm_graphs\IBM_POS_0083.graphml
IBM_POS_0084,B136110_814009C90,1,4,26,2,6,3.0,2.1667,13.0,0,689209.98,281189.79,0.3611,9572.36,data\ibm_graphs\IBM_POS_0084.graphml
IBM_POS_0085,B14077_80AE3D7E0,1,10,36,4,6,1.5,0.4,7.2,3,505969.64,164578.62,0.5,7027.36,data\ibm_graphs\IBM_POS_0085.graphml
IBM_POS_0086,B14_8035765E0,1,5,13,6,4,0.6667,0.65,5.2,1,111014.5,23056.68,0.1806,1541.87,data\ibm_graphs\IBM_POS_0086.graphml
IBM_POS_0087,B232335_80D1AE780,1,12,48,2,4,2.0,0.3636,8.0,0,48571.78,5416.18,0.6667,674.61,data\ibm_graphs\IBM_POS_0087.graphml
IBM_POS_0088,B1292_800C15270,1,9,25,6,6,1.0,0.3472,5.5556,3,2002703.42,1715490.82,0.3472,27815.33,data\ibm_graphs\IBM_POS_0088.graphml
IBM_POS_0089,B211_80A451570,1,719,1511,12,10,0.8333,0.0029,4.2031,707,523144517.69,95121736.49,20.9861,7265896.08,data\ibm_graphs\IBM_POS_0089.graphml
IBM_POS_0090,B11852_8017AFC60,1,9,33,4,6,1.5,0.4583,7.3333,1,8545331.74,4171194.19,0.4583,118685.16,data\ibm_graphs\IBM_POS_0090.graphml
IBM_POS_0091,B2439_801010DF0,1,2,4,2,4,2.0,2.0,4.0,1,82925.24,28000.77,0.0556,1151.74,data\ibm_graphs\IBM_POS_0091.graphml
IBM_POS_0092,B28628_80ACEE280,1,5,16,4,4,1.0,0.8,6.4,1,3575599.08,892031.21,0.2222,49661.1,data\ibm_graphs\IBM_POS_0092.graphml
IBM_POS_0093,B118180_806B9FA20,1,788,1641,4,8,2.0,0.0026,4.165,771,21949957694.55,4028473479.26,22.7917,304860523.54,data\ibm_graphs\IBM_POS_0093.graphml
IBM_POS_0094,B1501_800981370,1,30,81,8,8,1.0,0.0931,5.4,16,6041306.75,2120193.55,1.125,83907.04,data\ibm_graphs\IBM_POS_0094.graphml
IBM_POS_0095,B1467_8013C4030,1,6,29,6,12,2.0,0.9667,9.6667,2,304053.74,58702.1,0.4028,4222.97,data\ibm_graphs\IBM_POS_0095.graphml
IBM_POS_0096,B222_811B83280,1,3,10,2,2,1.0,1.6667,6.6667,0,423595.46,64379.45,0.1389,5883.27,data\ibm_graphs\IBM_POS_0096.graphml
IBM_POS_0097,B15055_802958DB0,1,12799,54222,10,6,0.6,0.0003,8.4728,4999,29718652112.43,825807854.75,753.0833,412759057.12,data\ibm_graphs\IBM_POS_0097.graphml
IBM_POS_0098,B220_80DC68A80,1,9,36,0,4,4.0,0.5,8.0,2,5843320.32,1782684.51,0.5,81157.23,data\ibm_graphs\IBM_POS_0098.graphml
IBM_POS_0099,B28768_80A7B9290,1,2,4,2,4,2.0,2.0,4.0,1,35377.46,11027.55,0.0556,491.35,data\ibm_graphs\IBM_POS_0099.graphml
IBM_POS_0100,B125305_809D92430,1,9,28,2,4,2.0,0.3889,6.2222,2,145022.33,23220.0,0.3889,2014.2,data\ibm_graphs\IBM_POS_0100.graphml
IBM_POS_0101,B41638_80FBFDAA0,1,27,102,8,2,0.25,0.1453,7.5556,12,307161564.94,139994505.21,1.4167,4266132.85,data\ibm_graphs\IBM_POS_0101.graphml
IBM_POS_0102,B25547_8034D1800,1,12,52,4,8,2.0,0.3939,8.6667,3,3589132.06,553004.15,0.7222,49849.06,data\ibm_graphs\IBM_POS_0102.graphml
IBM_POS_0103,B1068_800FB1BD0,1,15,61,4,10,2.5,0.2905,8.1333,6,2719451.37,573420.33,0.8472,37770.16,data\ibm_graphs\IBM_POS_0103.graphml
IBM_POS_0104,B27288_802B47C40,1,10,28,2,4,2.0,0.3111,5.6,4,290983.16,26788.76,0.3889,4041.43,data\ibm_graphs\IBM_POS_0104.graphml
IBM_POS_0105,B1501_808C45FE0,1,8,28,2,4,2.0,0.5,7.0,2,1146029.34,362288.51,0.3889,15917.07,data\ibm_graphs\IBM_POS_0105.graphml
IBM_POS_0106,B17753_806D399E0,1,4,15,2,6,3.0,1.25,7.5,1,2127340.44,489830.57,0.2083,29546.4,data\ibm_graphs\IBM_POS_0106.graphml
IBM_POS_0107,B117999_80BBEDC60,1,3,6,2,4,2.0,1.0,4.0,1,60261.46,10718.76,0.0833,836.96,data\ibm_graphs\IBM_POS_0107.graphml
IBM_POS_0108,B10_801396710,1,17,80,2,2,1.0,0.2941,9.4118,5,5650449.2,1525670.09,1.1111,78478.46,data\ibm_graphs\IBM_POS_0108.graphml
IBM_POS_0109,B20727_80C381B70,1,3,8,2,4,2.0,1.3333,5.3333,1,40951.66,5570.35,0.1111,568.77,data\ibm_graphs\IBM_POS_0109.graphml
IBM_POS_0110,B223_8119F8CC0,1,551,1257,2,28,14.0,0.0041,4.5626,491,1158465638.36,516342138.42,17.4583,16089800.53,data\ibm_graphs\IBM_POS_0110.graphml
IBM_POS_0111,B22_800202780,1,5967,12430,10,18,1.8,0.0003,4.1662,5908,7532136886.62,825807854.75,172.6389,104613012.31,data\ibm_graphs\IBM_POS_0111.graphml
IBM_POS_0112,B119_811C597B0,1,74,283,18,8,0.4444,0.0524,7.6486,32,235445175.75,64053148.0,3.9306,3270071.89,data\ibm_graphs\IBM_POS_0112.graphml
IBM_POS_0113,B213952_808338D40,1,9654,20231,20,30,1.5,0.0002,4.1912,9608,12735720597.03,1615849280.83,280.9861,176885008.29,data\ibm_graphs\IBM_POS_0113.graphml
IBM_POS_0114,B6_80A50D000,1,1603,6592,6,4,0.6667,0.0026,8.2246,633,6341209875.81,2474350163.85,91.5556,88072359.39,data\ibm_graphs\IBM_POS_0114.graphml
IBM_POS_0115,B12_800137450,1,89,295,8,10,1.25,0.0377,6.6292,52,778707034.67,198877203.06,4.0972,10815375.48,data\ibm_graphs\IBM_POS_0115.graphml
IBM_POS_0116,B28_80A43F620,1,2,4,2,4,2.0,2.0,4.0,1,750228.34,284873.46,0.0556,10419.84,data\ibm_graphs\IBM_POS_0116.graphml
IBM_POS_0117,B70_100428930,1,1338,6622,6,1510,251.6667,0.0037,9.8984,384,32174539686.22,4135856907.13,91.9722,446868606.75,data\ibm_graphs\IBM_POS_0117.graphml
IBM_POS_0118,B1669_8015A3ED0,1,16,56,6,8,1.3333,0.2333,7.0,4,131669847.32,29986027.48,0.7778,1828747.88,data\ibm_graphs\IBM_POS_0118.graphml
IBM_POS_0119,B24132_8078D10C0,1,14,52,2,4,2.0,0.2857,7.4286,6,9982862.78,2511131.1,0.7222,138650.87,data\ibm_graphs\IBM_POS_0119.graphml
IBM_POS_0120,B118_811A67510,1,32,96,4,4,1.0,0.0968,6.0,9,3847658.4,635916.52,1.3333,53439.7,data\ibm_graphs\IBM_POS_0120.graphml
IBM_POS_0121,B137218_80F443FD0,1,5,19,2,4,2.0,0.95,7.6,2,374862.95,94300.0,0.2639,5206.43,data\ibm_graphs\IBM_POS_0121.graphml
IBM_POS_0122,B21831_808099880,1,29,101,6,4,0.6667,0.1244,6.9655,11,19460028.75,8164276.28,1.4028,270278.18,data\ibm_graphs\IBM_POS_0122.graphml
IBM_POS_0123,B214308_80562E620,1,2,4,2,4,2.0,2.0,4.0,1,5738318.48,1690911.54,0.0556,79698.87,data\ibm_graphs\IBM_POS_0123.graphml
IBM_POS_0124,B12_800205030,1,5,14,2,4,2.0,0.7,5.6,1,44122317.3,11896790.65,0.1944,612809.96,data\ibm_graphs\IBM_POS_0124.graphml
IBM_POS_0125,B18324_8094AA6D0,1,8,30,4,4,1.0,0.5357,7.5,1,99717.5,28126.01,0.4167,1384.97,data\ibm_graphs\IBM_POS_0125.graphml
IBM_POS_0126,B16136_80484E640,1,3,6,2,2,1.0,1.0,4.0,1,60261.46,10718.76,0.0833,836.96,data\ibm_graphs\IBM_POS_0126.graphml
IBM_POS_0127,B135155_80D8110B0,1,14,45,6,4,0.6667,0.2473,6.4286,6,29105949.54,7852627.58,0.625,404249.3,data\ibm_graphs\IBM_POS_0127.graphml
IBM_POS_0128,B214322_8088FE560,1,11,42,2,4,2.0,0.3818,7.6364,2,8541128.66,5559014.15,0.5833,118626.79,data\ibm_graphs\IBM_POS_0128.graphml
IBM_POS_0129,B28827_805A3ED30,1,8,27,0,2,2.0,0.4821,6.75,1,40677.33,10019.56,0.375,564.96,data\ibm_graphs\IBM_POS_0129.graphml
IBM_POS_0130,B115915_80A32F2B0,1,12,40,0,4,4.0,0.303,6.6667,1,603479.92,57360.92,0.5556,8381.67,data\ibm_graphs\IBM_POS_0130.graphml
IBM_POS_0131,B12735_80150CB00,1,53,192,16,8,0.5,0.0697,7.2453,26,12772613.15,5745517.86,2.6667,177397.4,data\ibm_graphs\IBM_POS_0131.graphml
IBM_POS_0132,B4_802F673D0,1,48,218,8,10,1.25,0.0966,9.0833,20,1800941773.92,1550446682.22,3.0278,25013080.19,data\ibm_graphs\IBM_POS_0132.graphml
IBM_POS_0133,B23_8001FE5D0,1,5890,12153,10,16,1.6,0.0004,4.1267,5863,7429846227.96,825807854.75,168.7917,103192308.72,data\ibm_graphs\IBM_POS_0133.graphml
IBM_POS_0134,B17753_80AF351E0,1,14,59,6,4,0.6667,0.3242,8.4286,2,196211.9,87518.05,0.8194,2725.17,data\ibm_graphs\IBM_POS_0134.graphml
IBM_POS_0135,B10_8009CF210,1,94,255,10,12,1.2,0.0292,5.4255,15,71002151.22,54218378.44,3.5417,986140.99,data\ibm_graphs\IBM_POS_0135.graphml
IBM_POS_0136,B4866_8042509A0,1,2,4,2,4,2.0,2.0,4.0,1,52517.86,14937.01,0.0556,729.41,data\ibm_graphs\IBM_POS_0136.graphml
IBM_POS_0137,B13264_8022CFEB0,1,27,108,8,16,2.0,0.1538,8.0,5,24156197.91,10060487.95,1.5,335502.75,data\ibm_graphs\IBM_POS_0137.graphml
IBM_POS_0138,B125906_80E11E6A0,1,6,18,4,6,1.5,0.6,6.0,1,127999.67,23056.68,0.25,1777.77,data\ibm_graphs\IBM_POS_0138.graphml
IBM_POS_0139,B2454_8019EFA70,1,3,14,2,4,2.0,2.3333,9.3333,0,1185808.32,588433.59,0.1944,16469.56,data\ibm_graphs\IBM_POS_0139.graphml
IBM_POS_0140,B214050_80543C3C0,1,9,32,2,4,2.0,0.4444,7.1111,2,1185991.22,362288.51,0.4444,16472.1,data\ibm_graphs\IBM_POS_0140.graphml
IBM_POS_0141,B12_80010D740,1,83,265,2,28,14.0,0.0389,6.3855,47,21869512.24,2230453.31,3.6806,303743.23,data\ibm_graphs\IBM_POS_0141.graphml
IBM_POS_0142,B119_8000DA7D0,1,14,26,0,2,2.0,0.1429,3.7143,1,1586935.98,291133.92,0.3611,22040.78,data\ibm_graphs\IBM_POS_0142.graphml
IBM_POS_0143,B70_100428978,1,4679,22922,0,4882,4882.0,0.001,9.7978,1472,13567080249.64,1626701276.15,318.3611,188431670.13,data\ibm_graphs\IBM_POS_0143.graphml
IBM_POS_0144,B12719_80B445750,1,9624,20088,6,14,2.3333,0.0002,4.1746,9599,12812071606.93,1615849280.83,279.0,177945438.99,data\ibm_graphs\IBM_POS_0144.graphml
IBM_POS_0145,B217496_806C8A860,1,3,8,2,4,2.0,1.3333,5.3333,1,1339297.88,645578.26,0.1111,18601.36,data\ibm_graphs\IBM_POS_0145.graphml
IBM_POS_0146,B217_80FD27570,1,46,170,10,24,2.4,0.0821,7.3913,21,349986632.5,287340626.0,2.3611,4860925.45,data\ibm_graphs\IBM_POS_0146.graphml
IBM_POS_0147,B12_801DA8990,1,23,95,0,2,2.0,0.1877,8.2609,5,7677834.54,1525670.09,1.3194,106636.59,data\ibm_graphs\IBM_POS_0147.graphml
IBM_POS_0148,B22_80D517870,1,46,150,4,4,1.0,0.0725,6.5217,4,34582887.61,17002884.77,2.0833,480317.88,data\ibm_graphs\IBM_POS_0148.graphml
IBM_POS_0149,B239692_80EA93ED0,1,6,22,6,4,0.6667,0.7333,7.3333,1,2259503.73,489830.57,0.3056,31382.0,data\ibm_graphs\IBM_POS_0149.graphml
IBM_POS_0150,B1362_800463160,1,6,19,6,6,1.0,0.6333,6.3333,1,220768.07,18844.28,0.2639,3066.22,data\ibm_graphs\IBM_POS_0150.graphml
