complaint_id,account_number,ifsc,account_holder_name,complaint_date,complaint_type,reported_amount,state,district,ground_truth_entity_id
C000060,194602074538,PUNB0001357,Roshni Patel,2026-04-21,Shopping Fraud,283821.99,Punjab,Bathinda,ENT_000677
C000061,111453993673,CNRB0006677,Sanjay Dutta,2026-06-28,Identity Theft,5000.0,Karnataka,Mysuru,ENT_000267
C000062,253893447730,IDIB0001122,Ajay Ahmed,2026-07-05,Shopping Fraud,291674.74,Rajasthan,Udaipur,ENT_000421
C000063,311000094454,AXIS0007890,Swati Srivastava,2026-08-02,Shopping Fraud,1500.0,Maharashtra,Pune,ENT_000117
C000064,650925102373,KKBK0001928,Karan Ahmed,2026-01-02,Payment Fraud,483259.48,Kerala,Thiruvananthapuram,ENT_000214
C000065,761358158184,SBIN0005678,Aarav Chatterjee,2026-01-26,Online Banking Fraud,243851.61,Karnataka,Hubballi-Dharwad,ENT_000353
C000066,205953647125,HDFC0004321,Kabir Kulkarni,2026-04-07,Payment Fraud,263636.15,Andhra Pradesh,Visakhapatnam,ENT_000565
C000067,190510022021,ICIC0002468,Ananya Kapoor,2026-04-27,Investment Fraud,100000.0,Bihar,Muzaffarpur,ENT_000671
C000068,128355454532,KKBK0001928,Navya Dey,2026-02-19,UPI Fraud,488407.34,Rajasthan,Jodhpur,ENT_000005
C000069,656795048359,BARB0006789,Navya Reddy,2026-04-26,Phishing,1500.0,Tamil Nadu,Chennai,ENT_000037
C000070,327265319003,PUNB0001357,Ramesh Khan,2026-01-23,Investment Fraud,302586.62,Madhya Pradesh,Ujjain,ENT_000628
C000071,210187050550,IDIB0005566,Ashok Choudhury,2026-03-12,Investment Fraud,485260.58,Kerala,Kochi,ENT_000298
C000072,639928251843,AXIS0006543,Aditya Patel,2026-02-07,UPI Fraud,224795.35,Andhra Pradesh,Tirupati,ENT_000181
C000073,314029509095,PUNB0009876,Ira Bhatia,2026-06-10,Investment Fraud,1181.14,Bihar,Muzaffarpur,ENT_000190
C000074,813927597991,SBIN0009101,Sai Verma,2026-08-15,UPI Fraud,335177.27,West Bengal,Siliguri,ENT_000156
C000075,290008774121,KKBK0001928,Ishan  Nair,2026-05-28,UPI Fraud,10000.0,Andhra Pradesh,Guntur,ENT_000205
C000076,334614800586,ICIC0002468,Shaurya Nair,2026-06-24,UPI Fraud,100000.0,Andhra Pradesh,Visakhapatnam,ENT_000204
C000077,417880582454,AXIS0007890,Manish Patel,2026-08-03,Investment Fraud,500000.0,Madhya Pradesh,Ujjain,ENT_000679
C000078,639928251843,AXIS0006543,Mr. Aditya Patel,2026-01-15,Shopping Fraud,157295.43,Andhra Pradesh,Visakhapatnam,ENT_000181
C000079,903856791884,AXIS0006543,P Dey,2026-02-15,Online Banking Fraud,432825.0,Kerala,Thrissur,ENT_000561
C000080,696695139934,IDIB0001122,Dr. Navya Dey,2026-07-07,Identity Theft,398618.21,Andhra Pradesh,Tirupati,ENT_000045
C000081,311625223853,IDIB0003344,Advaith Jain,2026-01-09,UPI Fraud,352588.83,Kerala,Kozhikode,ENT_000560
C000082,944412769960,BARB0006789,Gaurav Mehta,2026-03-27,Shopping Fraud,200000.0,Telangana,Rangareddy,ENT_000666
C000083,619406611023,SBIN0005678,Rahul Khan,2026-06-02,Online Banking Fraud,500.0,Kerala,Kochi,ENT_000589
C000084,977630621959,CNRB0004455,Pranav Ghosh,2026-08-20,Identity Theft,40000.0,Telangana,Khammam,ENT_000058
C000085,561177243339,AXIS0006543,Geeta Nair,2026-04-08,Investment Fraud,15894.17,Tamil Nadu,Tiruchirappalli,ENT_000344
C000086,383683812395,AXIS0003456,Rajesh Chatterjee,2026-01-01,Identity Theft,196104.91,West Bengal,Siliguri,ENT_000152
C000087,566979258469,SBIN0009101,Pankaj Tiwari,2026-07-28,UPI Fraud,402141.75,Andhra Pradesh,Vijayawada,ENT_000449
C000088,269728956268,PUNB0009876,Saanvi Nair,2026-07-23,UPI Fraud,94691.2,Kerala,Kochi,ENT_000481
C000089,389801158279,BARB0003579,Ira Paul,2026-01-11,Identity Theft,20000.0,Tamil Nadu,Salem,ENT_000524
C000090,729444729179,PUNB0001357,Sanjay Yadav,2026-03-11,Payment Fraud,484786.36,Gujarat,Bhavnagar,ENT_000473
C000091,988738578038,KKBK0001928,Navya Bhatia,2026-03-23,Investment Fraud,1500.0,Madhya Pradesh,Gwalior,ENT_000112
C000092,730855031651,BARB0002345,A. Ghosh,2026-07-02,Investment Fraud,424383.82,Telangana,Hyderabad,ENT_000053
C000093,366742651064,AXIS0007890,Siddharth Pawar,2026-05-29,Investment Fraud,106773.96,Punjab,Bathinda,ENT_000364
C000094,133774683071,SBIN0009101,Sai Tripathi,2026-02-22,Online Banking Fraud,261781.89,Madhya Pradesh,Indore,ENT_000488
C000095,188219282055,HDFC0005678,Ananya Mukherjee,2026-07-26,Identity Theft,457033.01,Kerala,Kozhikode,ENT_000139
C000096,294622935239,AXIS0003456,Ramesh Dutta,2026-01-29,Shopping Fraud,500.0,Rajasthan,Udaipur,ENT_000690
C000097,286318825329,HDFC0005678,Roy Neha,2026-02-05,Shopping Fraud,459051.02,Delhi,North Delhi,ENT_000681
C000098,577160927111,ICIC0008765,Ishan Jain,2026-06-11,Shopping Fraud,223195.21,Kerala,Kollam,ENT_000665
C000099,252468346350,BARB0003579,Vikram Ghosh,2026-04-27,Payment Fraud,410125.68,Kerala,Kochi,ENT_000698
C000100,800583966022,CNRB0008899,amit bhatia,2026-08-21,UPI Fraud,99533.97,Andhra Pradesh,Tirupati,ENT_000572
C000101,123611025550,SBIN0009101,Gaurav Shinde,2026-05-19,Shopping Fraud,307176.16,Karnataka,Mysuru,ENT_000504
C000102,343157964776,ICIC0008765,Kabir Kulkarni,2026-08-05,Payment Fraud,351281.31,Kerala,Kollam,ENT_000573
C000103,223153060732,AXIS0007890,Suresh Paul,2026-01-16,Phishing,469152.81,Gujarat,Jamnagar,ENT_000522
C000104,720446670928,ICIC0008765,Sara Roy,2026-08-22,UPI Fraud,12954.92,Bihar,Gaya,ENT_000650
C000105,837214063081,AXIS0007890,Tanvi Bhatia,2026-08-18,Shopping Fraud,216032.66,Rajasthan,Jaipur,ENT_000396
C000106,287436613779,BARB0002345,Ananya Nair,2026-03-16,UPI Fraud,309055.84,West Bengal,Howrah,ENT_000486
C000107,861854335443,HDFC0005678,Myra Kumar,2026-02-19,Identity Theft,15000.0,Gujarat,Jamnagar,ENT_000140
C000108,184965906196,PUNB0001357,Pooja Ghosh ,2026-06-05,Investment Fraud,50000.0,Gujarat,Surat,ENT_000684
C000109,675777869916,SBIN0005678,Ishan Saxena,2026-08-02,Online Banking Fraud,25000.0,Kerala,Thiruvananthapuram,ENT_000638
C000110,482016878181,BARB0002345,Vikram Dubey,2026-06-06,Investment Fraud,305873.53,Gujarat,Surat,ENT_000269
C000111,467863780045,IDIB0003344,Ritvik K. Rao,2026-03-02,Payment Fraud,124534.82,Bihar,Gaya,ENT_000419
C000112,656795048359,BARB0006789, Navya Reddy,2026-04-22,UPI Fraud,463639.57,Gujarat,Vadodara,ENT_000037
C000113,697493414595,ICIC0008765,Ananya Sen,2026-06-15,Online Banking Fraud,4727.63,Gujarat,Surat,ENT_000210
C000114,166027394237,BARB0006789,Vijay Saxena,2026-03-18,Payment Fraud,158093.67,Punjab,Bathinda,ENT_000642
C000115,855671426170,PUNB0005432,Pooja Patil,2026-05-10,Online Banking Fraud,313418.89,Telangana,Karimnagar,ENT_000634
C000116,417104722442,SBIN0009101,Atharv Choudhury,2026-04-01,Shopping Fraud,243687.35,Rajasthan,Kota,ENT_000378
C000117,933785291760,PUNB0001357,Tanvi Yadav,2026-01-19,Online Banking Fraud,296556.98,Rajasthan,Jaipur,ENT_000497
C000118,528437913341,CNRB0004455,Alok Gaikwad,2026-01-16,UPI Fraud,2500.0,Haryana,Panipat,ENT_000145
C000119,948676594151,UBIN0005566,Rajesh Ghosh,2026-08-03,Phishing,250000.0,Maharashtra,Pune,ENT_000605
C000120,274493552068,IDIB0003344,Nikhil Tiwari,2026-08-05,Identity Theft,474421.41,Karnataka,Mysuru,ENT_000030
C000121,651613895273,CNRB0008899,Aayan Joshi,2026-03-18,UPI Fraud,399083.41,Bihar,Bhagalpur,ENT_000480
C000122,847668980598,UBIN0005566,Meera Rao,2026-02-05,Online Banking Fraud,1000.0,Gujarat,Rajkot,ENT_000592
C000123,311000094454,AXIS0007890,Swati Srivastava,2026-08-23,UPI Fraud,2500.0,Uttar Pradesh,Meerut,ENT_000117
C000124,898720071165,BARB0003579,Ashok Deshmukh,2026-01-03,Identity Theft,20000.0,Bihar,Gaya,ENT_000635
C000125,626972684219,BARB0003579,Pari Rao,2026-08-11,Phishing,492205.14,Haryana,Karnal,ENT_000439
C000126,294622935239,AXIS0003456,Ms. Ramesh Dutta,2026-06-09,Online Banking Fraud,1500.0,Andhra Pradesh,Guntur,ENT_000690
C000127,714428300898,AXIS0006543,Suresh Paul,2026-07-15,Phishing,207313.06,Madhya Pradesh,Bhopal,ENT_000585
C000128,346884123576,CNRB0004455,Pranav Agarwal,2026-02-22,Payment Fraud,439379.3,Punjab,Ludhiana,ENT_000335
C000129,326303975452,AXIS0007890,Varun  Choudhury,2026-03-22,Investment Fraud,82580.18,Karnataka,Bengaluru Urban,ENT_000530
C000130,692210657021,IDIB0001122,Neha Tripathi,2026-07-19,Investment Fraud,386387.55,Tamil Nadu,Coimbatore,ENT_000033
C000131,556440884355,IDIB0005566,Vijay Kulkarni,2026-06-12,Investment Fraud,482681.26,Kerala,Thrissur,ENT_000237
C000132,331762745410,BARB0002345,Ritvik Dey,2026-05-02,Identity Theft,202519.58,Uttar Pradesh,Agra,ENT_000660
C000133,942586603917,HDFC0005678,Alok Bhatia,2026-06-26,Shopping Fraud,251411.13,Telangana,Hyderabad,ENT_000590
C000134,353543257595,PUNB0009876,Rahul Bose,2026-04-09,UPI Fraud,250000.0,Tamil Nadu,Chennai,ENT_000207
C000135,109238601984,ICIC0004321,Varun Deshmukh,2026-07-20,Shopping Fraud,371421.03,Telangana,Nizamabad,ENT_000641
C000136,471144503217,IDIB0005566,Sunil Malhotra,2026-03-24,Payment Fraud,100000.0,Uttar Pradesh,Ghaziabad,ENT_000325
C000137,463080281895,SBIN0001234,Advaith Das,2026-03-13,UPI Fraud,10000.0,West Bengal,Siliguri,ENT_000107
C000138,496260389877,KKBK0003210,Karan S Deshmukh,2026-06-11,UPI Fraud,455537.39,Kerala,Thiruvananthapuram,ENT_000626
C000139,779421443451,ICIC0002468,Kabir Dubey,2026-01-20,Shopping Fraud,120825.46,Punjab,Amritsar,ENT_000277
C000140,700581361458,UBIN0007788,Vikram Choudhury,2026-05-11,Online Banking Fraud,78110.88,Tamil Nadu,Chennai,ENT_000081
C000141,962466472260,KKBK0007890,Anika Bhatia,2026-03-30,Shopping Fraud,368023.32,Tamil Nadu,Salem,ENT_000407
C000142,485585964205,PUNB0001357,Ritvik Ghosh,2026-01-03,Identity Theft,500000.0,Telangana,Karimnagar,ENT_000368
C000143,430714225291,PUNB0009876,Angel Ali,2026-01-08,Investment Fraud,278198.9,Tamil Nadu,Coimbatore,ENT_000119
C000144,830136378095,KKBK0007890,Kapoor Kavya,2026-06-29,Payment Fraud,360914.75,Tamil Nadu,Tiruchirappalli,ENT_000533
C000145,518597220210,ICIC0002468,Sweta Mukherjee,2026-07-13,Investment Fraud,2000.0,Bihar,Bhagalpur,ENT_000020
C000146,579303623884,PUNB0001357,Ramesh Ali,2026-07-03,Phishing,1500.0,Haryana,Ambala,ENT_000109
C000147,709099824282,PUNB0009876,Pranav Rao,2026-07-14,Shopping Fraud,7500.0,Punjab,Patiala,ENT_000083
C000148,609030752531,SBIN0005678,SWETA GHOSH,2026-02-24,UPI Fraud,156470.08,Rajasthan,Bikaner,ENT_000130
C000149,895783733945,PUNB0009876,Ashok Reddy,2026-03-18,Phishing,260384.06,Karnataka,Bengaluru Urban,ENT_000242
C000150,735798459372,PUNB0001357,Dhruv Patel,2026-01-21,Investment Fraud,286730.95,Punjab,Amritsar,ENT_000279
C000151,736422102747,ICIC0002468,Arjun Shah,2026-05-14,Identity Theft,60049.31,Uttar Pradesh,Meerut,ENT_000108
C000152,232916613814,BARB0003579,Ananya Patil,2026-03-12,Online Banking Fraud,84718.58,Maharashtra,Thane,ENT_000235
C000153,103944899549,BARB0006789,Rajesh Patil,2026-08-09,Identity Theft,214369.45,Madhya Pradesh,Gwalior,ENT_000039
C000154,916557269948,KKBK0001928,Pari Banerjee,2026-05-31,Payment Fraud,56703.16,Madhya Pradesh,Ujjain,ENT_000187
C000155,230342679193,HDFC0004321,Ishita Malhotra,2026-03-28,Phishing,150000.0,Karnataka,Belagavi,ENT_000593
C000156,297594719776,CNRB0004455,Ritvik Mishra,2026-06-14,Identity Theft,378102.32,Rajasthan,Jaipur,ENT_000341
C000157,752686223803,PUNB0005432,Advik Ahmed,2026-02-09,Online Banking Fraud,315340.51,Gujarat,Jamnagar,ENT_000250
C000158,850001111711,BARB0006789,Aryan Rao,2026-07-18,Identity Theft,366962.04,Gujarat,Ahmedabad,ENT_000512
C000159,482133076827,BARB0003579,Swati Pawar,2026-01-22,Payment Fraud,363573.48,Andhra Pradesh,Guntur,ENT_000609
C000160,465087448782,IDIB0001122,Dhruv Dubey,2026-07-17,UPI Fraud,50000.0,Madhya Pradesh,Bhopal,ENT_000089
C000161,758365355182,PUNB0009876,Anita Shah,2026-05-18,Payment Fraud,1500.0,West Bengal,Hooghly,ENT_000333
C000162,870278886192,SBIN0009101,Meera Singh,2026-07-15,Payment Fraud,302999.45,West Bengal,Kolkata,ENT_000588
C000163,664477687248,PUNB0005432,Atharv Malhotra,2026-06-09,Identity Theft,347688.04,Rajasthan,Kota,ENT_000564
C000164,772260083878,HDFC0004321,Kavita Bhatia,2026-01-10,UPI Fraud,20000.0,Gujarat,Rajkot,ENT_000386
C000165,182269863100,PUNB0009876,Advik Shinde,2026-01-26,Investment Fraud,100000.0,Bihar,Darbhanga,ENT_000399
C000166,264566563474,AXIS0006543,krishna kulkarni,2026-02-08,Identity Theft,150487.7,Gujarat,Surat,ENT_000374
C000167,861977213598,KKBK0007890,Rahul Saxena,2026-03-14,Online Banking Fraud,268794.68,Madhya Pradesh,Indore,ENT_000223
C000168,495973029385,KKBK0001928,Rahul Kumar,2026-08-23,Shopping Fraud,34903.85,Tamil Nadu,Salem,ENT_000510
C000169,738506846386,PUNB0001357,Ajay Yadav,2026-04-22,Online Banking Fraud,313799.49,Karnataka,Kalaburagi,ENT_000183
C000170,108901504899,AXIS0006543,Preeti Shah,2026-01-16,Shopping Fraud,20000.0,Delhi,New Delhi,ENT_000078
C000171,230342679193,HDFC0004321,Ishita Malhotra,2026-03-11,Investment Fraud,7500.0,Uttar Pradesh,Lucknow,ENT_000593
C000172,269879802007,ICIC0002468,Rahul Tiwari,2026-01-15,Phishing,329197.15,Kerala,Kollam,ENT_000085
C000173,178728590908,KKBK0003210,Riya Sen,2026-04-12,Online Banking Fraud,412511.4,Bihar,Darbhanga,ENT_000051
C000174,929604758482,BARB0006789,Reyansh Srivastava,2026-07-07,Investment Fraud,70141.94,Madhya Pradesh,Bhopal,ENT_000347
C000175,675939282671,HDFC0005678,Riya Banerjee,2026-07-01,UPI Fraud,1500.0,Madhya Pradesh,Gwalior,ENT_000647
C000176,940536690954,PUNB0009876,Geeta Agarwal,2026-03-22,UPI Fraud,2000.0,Uttar Pradesh,Ghaziabad,ENT_000340
C000177,930498955541,HDFC0005678,Navya Tiwari,2026-07-04,UPI Fraud,269708.78,Delhi,South Delhi,ENT_000514
C000178,795911943199,ICIC0002468,Anil Patil,2026-05-26,Online Banking Fraud,75000.0,Karnataka,Mangaluru,ENT_000667
C000179,287410804707,KKBK0001928,Priya Nair,2026-02-17,Phishing,75000.0,Karnataka,Belagavi,ENT_000019
C000180,250059974723,CNRB0004455,Varun Deshmukh,2026-03-01,Online Banking Fraud,78417.61,Maharashtra,Solapur,ENT_000559
C000181,856804495442,UBIN0007788,Ashok Mehta,2026-05-11,Payment Fraud,286020.11,Tamil Nadu,Salem,ENT_000538
C000182,605166001421,IDIB0005566,Kavita Patel,2026-08-17,UPI Fraud,315997.43,Madhya Pradesh,Bhopal,ENT_000363
C000183,296546131054,KKBK0003210,pranav dubey,2026-03-06,Payment Fraud,30000.0,Punjab,Ludhiana,ENT_000036
C000184,827197730438,CNRB0004455,Aryan Paul,2026-04-28,Investment Fraud,25000.0,Punjab,Patiala,ENT_000114
C000185,921315799665,SBIN0009101,Pankaj Shah,2026-07-19,Payment Fraud,2000.0,West Bengal,Kolkata,ENT_000258
C000186,861854335443,HDFC0005678,Myra Kumar,2026-06-29,Phishing,282021.44,Maharashtra,Aurangabad,ENT_000140
C000187,623060957599,IDIB0003344,Dr. Kunal Banerjee,2026-06-05,Identity Theft,299316.92,Telangana,Warangal,ENT_000054
C000188,458236319765,AXIS0003456,Amit Yadav,2026-06-26,UPI Fraud,150000.0,Kerala,Thrissur,ENT_000116
C000189,668956468715,BARB0003579,Deepak Sen,2026-04-14,Identity Theft,2500.0,Bihar,Darbhanga,ENT_000219
C000190,534129483583,CNRB0004455,Suresh Biswas,2026-03-08,Payment Fraud,270068.72,Maharashtra,Nashik,ENT_000365
C000191,457188967265,CNRB0004455,Shreya Ahmed,2026-06-25,Shopping Fraud,2500.0,Kerala,Kollam,ENT_000581
C000192,892761382374,AXIS0007890,Amit Reddy,2026-08-08,Phishing,2000.0,Tamil Nadu,Madurai,ENT_000631
C000193,463098950845,AXIS0003456,Kabir Bose,2026-01-13,Online Banking Fraud,1000.0,Rajasthan,Kota,ENT_000663
C000194,434343034522,ICIC0004321,Manish Kulkarni,2026-01-14,Online Banking Fraud,238377.86,Bihar,Patna,ENT_000271
C000195,639928251843,AXIS0006543,Aditya Patel,2026-04-09,Identity Theft,40000.0,Rajasthan,Jaipur,ENT_000181
C000196,235448546713,AXIS0006543,Deepa Srivastava,2026-01-21,Payment Fraud,44678.95,Gujarat,Bhavnagar,ENT_000287
C000197,360788634696,AXIS0006543,Rahul Biswas,2026-07-09,Online Banking Fraud,7500.0,Uttar Pradesh,Kanpur,ENT_000405
C000198,320303658363,SBIN0005678,Navya Gupta,2026-05-15,Shopping Fraud,469857.38,West Bengal,Kolkata,ENT_000441
C000199,150425239978,AXIS0003456,Deepak Mukherjee,2026-04-29,Online Banking Fraud,306760.57,Bihar,Muzaffarpur,ENT_000602
C000200,929604758482,BARB0006789,Reyansh Srivastava,2026-08-05,Investment Fraud,50000.0,Delhi,West Delhi,ENT_000347
C000201,820726006289,KKBK0003210,Vivaan Saxena,2026-05-31,Identity Theft,325094.85,Telangana,Nizamabad,ENT_000082
C000202,513604871693,HDFC0004321,Ishita Kulkarni,2026-05-25,Shopping Fraud,75469.82,West Bengal,North 24 Parganas,ENT_000611
C000203,486788314061,KKBK0003210,Ishan Roy,2026-04-07,Identity Theft,250000.0,Kerala,Kochi,ENT_000376
C000204,406352552364,CNRB0004455,Krishna Sen,2026-07-14,Identity Theft,20000.0,Telangana,Hyderabad,ENT_000105
C000205,639157294166,UBIN0007788,Preeti Roy,2026-04-04,Online Banking Fraud,35901.54,Tamil Nadu,Chennai,ENT_000520
C000206,438411762855,BARB0006789,Preeti Dutta,2026-08-18,Investment Fraud,229769.51,Tamil Nadu,Tiruchirappalli,ENT_000212
C000207,760045839791,SBIN0005678,Sunita Kumar,2026-06-05,Investment Fraud,85698.11,Delhi,East Delhi,ENT_000388
C000208,935608119076,ICIC0008765,Ajay Tripathi,2026-03-02,Investment Fraud,150000.0,Tamil Nadu,Tirunelveli,ENT_000180
C000209,674066241127,ICIC0008765,Kunal Roy,2026-08-18,UPI Fraud,22589.99,West Bengal,Darjeeling,ENT_000606
C000210,136796035576,BARB0006789,Ananya Srivastava,2026-03-25,Identity Theft,387484.81,Tamil Nadu,Madurai,ENT_000459
